01_01_Introduction.txt,data,1
01_01_Introduction.txt,databas,2
01_01_Introduction.txt,system,3
01_01_Introduction.txt,program,4
01_01_Introduction.txt,databas system,5
01_01_Introduction.txt,program oper,0
01_01_Introduction.txt,applic,0
01_01_Introduction.txt,amount data,0
01_01_Introduction.txt,manag system,0
01_01_Introduction.txt,oper,0
02_01_The_Relational_Model.txt,relat,1
02_01_The_Relational_Model.txt,databas,2
02_01_The_Relational_Model.txt,model,3
02_01_The_Relational_Model.txt,relat model,4
02_01_The_Relational_Model.txt,attribut,5
02_01_The_Relational_Model.txt,tupl,0
02_01_The_Relational_Model.txt,tabl,0
02_01_The_Relational_Model.txt,order,0
02_01_The_Relational_Model.txt,set,0
02_01_The_Relational_Model.txt,key,0
02_02_Querying_Relational_Databases.txt,queri,1
02_02_Querying_Relational_Databases.txt,languag,2
02_02_Querying_Relational_Databases.txt,queri languag,3
02_02_Querying_Relational_Databases.txt,databas,4
02_02_Querying_Relational_Databases.txt,relat,5
02_02_Querying_Relational_Databases.txt,data,0
02_02_Querying_Relational_Databases.txt,sql,0
02_02_Querying_Relational_Databases.txt,algebra,0
02_02_Querying_Relational_Databases.txt,relat databas,0
02_02_Querying_Relational_Databases.txt,relat algebra,0
03_01_Well_Formed_XML_Part_1.txt,xml,1
03_01_Well_Formed_XML_Part_1.txt,document,2
03_01_Well_Formed_XML_Part_1.txt,charact,3
03_01_Well_Formed_XML_Part_1.txt,xml document,4
03_01_Well_Formed_XML_Part_1.txt,element,5
03_01_Well_Formed_XML_Part_1.txt,dtd,0
03_01_Well_Formed_XML_Part_1.txt,markup,0
03_01_Well_Formed_XML_Part_1.txt,tag,0
03_01_Well_Formed_XML_Part_1.txt,encod,0
03_01_Well_Formed_XML_Part_1.txt,languag,0
03_01_Well_Formed_XML_Part_2.txt,xml,1
03_01_Well_Formed_XML_Part_2.txt,document,2
03_01_Well_Formed_XML_Part_2.txt,charact,3
03_01_Well_Formed_XML_Part_2.txt,xml document,4
03_01_Well_Formed_XML_Part_2.txt,dtd,5
03_01_Well_Formed_XML_Part_2.txt,markup,0
03_01_Well_Formed_XML_Part_2.txt,encod,0
03_01_Well_Formed_XML_Part_2.txt,element,0
03_01_Well_Formed_XML_Part_2.txt,languag,0
03_01_Well_Formed_XML_Part_2.txt,parser,0
03_02_DTDs_IDs_and_IDREFs.txt,xml,1
03_02_DTDs_IDs_and_IDREFs.txt,document,2
03_02_DTDs_IDs_and_IDREFs.txt,dtd,3
03_02_DTDs_IDs_and_IDREFs.txt,charact,4
03_02_DTDs_IDs_and_IDREFs.txt,element,5
03_02_DTDs_IDs_and_IDREFs.txt,xml document,0
03_02_DTDs_IDs_and_IDREFs.txt,book,0
03_02_DTDs_IDs_and_IDREFs.txt,markup,0
03_02_DTDs_IDs_and_IDREFs.txt,languag,0
03_02_DTDs_IDs_and_IDREFs.txt,attribut,0
03_02_XML_Schema.txt,xml,1
03_02_XML_Schema.txt,xml schema,2
03_02_XML_Schema.txt,schema,3
03_02_XML_Schema.txt,element,4
03_02_XML_Schema.txt,relax,5
03_02_XML_Schema.txt,dtd,0
03_02_XML_Schema.txt,document,0
03_02_XML_Schema.txt,valid,0
03_02_XML_Schema.txt,languag,0
03_02_XML_Schema.txt,author,0
04_01_Introduction_to_JSON_Data_Part_1.txt,json,1
04_01_Introduction_to_JSON_Data_Part_1.txt,javascript,2
04_01_Introduction_to_JSON_Data_Part_1.txt,json data,3
04_01_Introduction_to_JSON_Data_Part_1.txt,data,4
04_01_Introduction_to_JSON_Data_Part_1.txt,format,5
04_01_Introduction_to_JSON_Data_Part_1.txt,xml,0
04_01_Introduction_to_JSON_Data_Part_1.txt,object,0
04_01_Introduction_to_JSON_Data_Part_1.txt,browser,0
